model,prompt_type,tool_success_rate,difficulty,task_type,timestamp,total,success,partial,failed,success_rate,partial_rate,failure_rate,weighted_success_score,full_success_rate,partial_success_rate,avg_execution_time,avg_turns,avg_tool_calls,tool_coverage_rate,avg_workflow_score,avg_phase2_score,avg_quality_score,avg_final_score,total_errors,tool_call_format_errors,timeout_errors,dependency_errors,parameter_config_errors,tool_selection_errors,sequence_order_errors,max_turns_errors,other_errors,tool_selection_error_rate,parameter_error_rate,sequence_error_rate,dependency_error_rate,timeout_error_rate,format_error_rate,max_turns_error_rate,other_error_rate,assisted_failure,assisted_success,total_assisted_turns,tests_with_assistance,avg_assisted_turns,assisted_success_rate,assistance_rate,full_success,partial_success
qwen2.5-72b-instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,216,0,0,216,0.0,0.0,1.0,0.0,0.0,0.0,22.91435411239939,10.0,2.0,0.8,0.0,0.0,0.0,0.0,56,4,0,3,0,47,3,0,-1,0.2175925925925926,0.0,0.013888888888888888,0.013888888888888888,0.0,0.018518518518518517,0.0,-0.004629629629629629,0,0,0,0,0.0,0.0,0.0,0,0
qwen2.5-72b-instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,198,0,0,198,0.0,0.0,1.0,0.0,0.0,0.0,25.878488359889776,10.0,2.0,0.8,0.0,0.0,0.0,0.0,52,5,0,3,0,41,3,0,0,0.20707070707070707,0.0,0.015151515151515152,0.015151515151515152,0.0,0.025252525252525252,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0
qwen2.5-72b-instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,234,0,0,234,0.0,0.0,1.0,0.0,0.0,0.0,24.63754803274484,10.0,2.0,0.8,0.0,0.0,0.0,0.0,60,7,0,4,0,46,4,0,-1,0.19658119658119658,0.0,0.017094017094017096,0.017094017094017096,0.0,0.029914529914529916,0.0,-0.004273504273504274,0,0,0,0,0.0,0.0,0.0,0,0
qwen2.5-72b-instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,252,0,0,252,0.0,0.0,1.0,0.0,0.0,0.0,22.605091349598947,10.0,2.0,0.8,0.0,0.0,0.0,0.0,72,6,0,4,0,60,4,0,-2,0.23809523809523808,0.0,0.015873015873015872,0.015873015873015872,0.0,0.023809523809523808,0.0,-0.007936507936507936,0,0,0,0,0.0,0.0,0.0,0,0
qwen2.5-7b-instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,198,20,10,178,0.101010101010101,0.0505050505050505,0.898989898989899,0.001515151515151515,0.10101010101010101,0.050505050505050504,14.63362320658914,10.0,2.0,0.8,0.0,0.0,0.0,0.0,48,7,0,5,0,33,5,0,-2,0.16666666666666666,0.0,0.025252525252525252,0.025252525252525252,0.0,0.03535353535353535,0.0,-0.010101010101010102,0,0,0,0,0.0,0.0,0.0,20,10
qwen2.5-7b-instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,198,12,6,186,0.0606060606060606,0.0303030303030303,0.9393939393939394,0.000909090909090909,0.06060606060606061,0.030303030303030304,15.310762413270531,10.0,2.0,0.8,0.0,0.0,0.0,0.0,44,6,0,4,0,32,4,0,-2,0.16161616161616163,0.0,0.020202020202020204,0.020202020202020204,0.0,0.030303030303030304,0.0,-0.010101010101010102,0,0,0,0,0.0,0.0,0.0,12,6
qwen2.5-7b-instruct,optimal,0.7,easy,aggregated,2025-08-31T00:45:00.000000,198,12,6,186,0.0606060606060606,0.0303030303030303,0.9393939393939394,0.000909090909090909,0.06060606060606061,0.030303030303030304,14.852956563564632,10.0,2.0,0.8,0.0,0.0,0.0,0.0,50,5,0,3,0,39,3,0,0,0.19696969696969696,0.0,0.015151515151515152,0.015151515151515152,0.0,0.025252525252525252,0.0,0.0,0,0,0,0,0.0,0.0,0.0,12,6
qwen2.5-7b-instruct,optimal,0.6,easy,aggregated,2025-08-31T00:45:00.000000,198,18,9,180,0.0909090909090909,0.0454545454545454,0.9090909090909092,0.0013636363636363629,0.09090909090909091,0.045454545454545456,15.389526502890137,10.0,2.0,0.8,0.0,0.0,0.0,0.0,33,4,0,2,0,25,2,0,0,0.12626262626262627,0.0,0.010101010101010102,0.010101010101010102,0.0,0.020202020202020204,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18,9
qwen2.5-14b-instruct,optimal,0.9,easy,aggregated,2025-08-31T00:45:00.000000,156,10,5,146,0.0641025641025641,0.032051282051282,0.935897435897436,0.000961538461538461,0.0641025641025641,0.03205128205128205,18.393331513938623,10.0,2.0,0.8,0.0,0.0,0.0,0.0,36,7,0,4,0,22,4,0,-1,0.14102564102564102,0.0,0.02564102564102564,0.02564102564102564,0.0,0.04487179487179487,0.0,-0.00641025641025641,0,0,0,0,0.0,0.0,0.0,10,5
qwen2.5-14b-instruct,optimal,0.8,easy,aggregated,2025-08-31T00:45:00.000000,198,14,7,184,0.0707070707070707,0.0353535353535353,0.9292929292929292,0.0010606060606060598,0.0707070707070707,0.03535353535353535,13.018968041127437,10.0,2.0,0.8,0.0,0.0,0.0,0.0,42,6,0,4,0,29,4,0,-1,0.14646464646464646,0.0,0.020202020202020204,0.020202020202020204,0.0,0.030303030303030304,0.0,-0.005050505050505051,0,0,0,0,0.0,0.0,0.0,14,7
