experiment,model,prompt_type,tool_success_rate,difficulty,total_tests,successful,partial,failed,success_rate,partial_rate,failure_rate,total_success,total_success_rate,effective_total,effective_success_rate,timeout_failures,timeout_errors,tool_selection_errors,parameter_errors,execution_errors,other_errors,avg_execution_time,task_types_covered
5.5,qwen2.5-72b-instruct,baseline,0.8,easy,234,0,0,234,0.0,0.0,1.0,0,0.0,234,0.0,0,0,49,0,0,14,21.69405683625442,5
5.5,qwen2.5-72b-instruct,cot,0.8,easy,216,0,0,216,0.0,0.0,1.0,0,0.0,216,0.0,0,0,38,0,0,13,26.58766362030403,5
5.5,qwen2.5-72b-instruct,optimal,0.8,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,41,0,0,11,26.966053753144113,5
5.5,qwen2.5-7b-instruct,baseline,0.8,easy,198,26,13,172,0.13131313131313133,0.06565656565656566,0.8686868686868688,26,0.13131313131313133,198,0.13131313131313133,0,0,42,0,0,15,12.728683308519326,5
5.5,qwen2.5-7b-instruct,cot,0.8,easy,200,0,0,200,0.0,0.0,1.0,0,0.0,200,0.0,0,0,38,0,0,14,14.410332045871924,5
5.5,qwen2.5-7b-instruct,optimal,0.8,easy,198,12,6,186,0.06060606060606061,0.030303030303030304,0.9393939393939393,12,0.06060606060606061,198,0.06060606060606061,0,0,32,0,0,12,15.39876660616334,5
5.5,qwen2.5-14b-instruct,baseline,0.8,easy,198,8,4,190,0.04040404040404041,0.020202020202020204,0.9595959595959596,8,0.04040404040404041,198,0.04040404040404041,0,0,45,0,0,9,11.070703867860693,5
5.5,qwen2.5-14b-instruct,cot,0.8,easy,198,4,2,194,0.020202020202020204,0.010101010101010102,0.9797979797979798,4,0.020202020202020204,198,0.020202020202020204,0,0,32,0,0,13,13.068726797341819,5
5.5,qwen2.5-14b-instruct,optimal,0.8,easy,198,14,7,184,0.0707070707070707,0.03535353535353535,0.9292929292929293,14,0.0707070707070707,198,0.0707070707070707,0,0,29,0,0,13,13.100231980643404,5
5.5,DeepSeek-V3-0324,baseline,0.8,easy,288,282,97,6,0.9791666666666665,0.3368055555555556,0.02083333333333333,282,0.9791666666666665,288,0.9791666666666665,0,0,10,0,0,5,19.253458673397482,5
5.5,DeepSeek-V3-0324,cot,0.8,easy,396,374,133,22,0.9639175257731959,0.3427835051546392,0.03608247422680412,374,0.9639175257731959,388,0.9639175257731959,8,8,29,0,0,16,36.892074249432,5
5.5,DeepSeek-V3-0324,optimal,0.8,easy,370,364,82,6,0.9837837837837838,0.22162162162162166,0.016216216216216217,364,0.9837837837837838,370,0.9837837837837838,0,0,15,0,0,5,11.988032378298778,5
5.5,qwen2.5-32b-instruct,baseline,0.8,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,197,0.0,1,1,42,0,0,14,12.048625517267268,5
5.5,qwen2.5-32b-instruct,cot,0.8,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,34,0,0,9,19.41402146349791,5
5.5,qwen2.5-32b-instruct,optimal,0.8,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,36,0,0,10,12.26932596876981,5
5.5,Llama-3.3-70B-Instruct,baseline,0.8,easy,124,114,48,10,0.9193548387096775,0.3870967741935484,0.08064516129032258,114,0.9193548387096775,124,0.9193548387096775,0,0,12,0,0,10,90.8206449355824,5
5.5,Llama-3.3-70B-Instruct,cot,0.8,easy,396,138,65,258,0.34936708860759486,0.16455696202531644,0.6506329113924051,138,0.34936708860759486,395,0.34936708860759486,1,1,91,0,0,21,12.463056148448489,5
5.5,Llama-3.3-70B-Instruct,optimal,0.8,easy,396,384,138,12,0.9770992366412213,0.3511450381679389,0.022900763358778622,384,0.9770992366412213,393,0.9770992366412213,3,3,24,0,0,11,114.24294709739966,5
5.5,qwen2.5-3b-instruct,baseline,0.8,easy,198,68,34,130,0.34343434343434337,0.17171717171717168,0.6565656565656566,68,0.34343434343434337,198,0.34343434343434337,0,0,34,0,0,14,31.713133466628715,5
5.5,qwen2.5-3b-instruct,cot,0.8,easy,222,6,3,216,0.027027027027027025,0.013513513513513513,0.972972972972973,6,0.027027027027027025,222,0.027027027027027025,0,0,52,0,0,8,42.192660766127005,5
5.5,qwen2.5-3b-instruct,optimal,0.8,easy,138,12,6,126,0.08695652173913043,0.043478260869565216,0.9130434782608695,12,0.08695652173913043,138,0.08695652173913043,0,0,18,0,0,8,30.71460871671385,5
5.5,DeepSeek-R1-0528,baseline,0.8,easy,270,266,91,4,0.99625468164794,0.3408239700374532,0.0037453183520599256,266,0.99625468164794,267,0.99625468164794,3,3,14,0,0,1,124.8416723836986,5
5.5,DeepSeek-R1-0528,cot,0.8,easy,396,348,110,48,0.8992248062015504,0.2842377260981912,0.10077519379844961,348,0.8992248062015504,387,0.8992248062015504,9,9,27,0,0,11,138.7131614439936,5
5.5,DeepSeek-R1-0528,optimal,0.8,easy,396,392,102,4,0.98989898989899,0.25757575757575757,0.010101010101010102,392,0.98989898989899,396,0.98989898989899,0,0,17,0,0,6,130.55072208279054,5
