experiment,experiment_name,model,prompt_type,tool_success_rate,difficulty,total_tests,effective_total,full_success,partial_success,total_success,failed,timeout_failures,full_success_rate,partial_success_rate,total_success_rate,failure_rate,avg_execution_time,timeout_errors,tool_selection_errors,parameter_errors,execution_errors,other_errors,test_date,notes
5.5,提示敏感性测试,qwen2.5-72b-instruct,baseline,0.8,easy,234,234,0,0,0,234,0,0.0,0.0,0.0,1.0,21.69405683625442,0,49,0,0,14,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,qwen2.5-72b-instruct,cot,0.8,easy,216,216,0,0,0,216,0,0.0,0.0,0.0,1.0,26.58766362030403,0,38,0,0,13,2025-08-31,提示类型: cot
5.5,提示敏感性测试,qwen2.5-72b-instruct,optimal,0.8,easy,198,198,0,0,0,198,0,0.0,0.0,0.0,1.0,26.966053753144113,0,41,0,0,11,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,qwen2.5-7b-instruct,baseline,0.8,easy,198,198,13,13,26,172,0,0.06565656565656566,0.06565656565656566,0.13131313131313133,0.8686868686868687,12.728683308519326,0,42,0,0,15,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,qwen2.5-7b-instruct,cot,0.8,easy,200,200,0,0,0,200,0,0.0,0.0,0.0,1.0,14.410332045871924,0,38,0,0,14,2025-08-31,提示类型: cot
5.5,提示敏感性测试,qwen2.5-7b-instruct,optimal,0.8,easy,198,198,6,6,12,186,0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.9393939393939394,15.39876660616334,0,32,0,0,12,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,qwen2.5-14b-instruct,baseline,0.8,easy,198,198,4,4,8,190,0,0.020202020202020204,0.020202020202020204,0.04040404040404041,0.9595959595959596,11.070703867860692,0,45,0,0,9,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,qwen2.5-14b-instruct,cot,0.8,easy,198,198,2,2,4,194,0,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.9797979797979798,13.06872679734182,0,32,0,0,13,2025-08-31,提示类型: cot
5.5,提示敏感性测试,qwen2.5-14b-instruct,optimal,0.8,easy,198,198,7,7,14,184,0,0.03535353535353535,0.03535353535353535,0.0707070707070707,0.9292929292929293,13.100231980643404,0,29,0,0,13,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,DeepSeek-V3-0324,baseline,0.8,easy,288,288,185,97,282,6,0,0.6423611111111112,0.3368055555555556,0.9791666666666666,0.020833333333333332,19.25345867339748,0,10,0,0,5,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,DeepSeek-V3-0324,cot,0.8,easy,396,388,241,133,374,22,8,0.6211340206185567,0.3427835051546392,0.9639175257731959,0.03608247422680412,36.892074249432,8,29,0,0,16,2025-08-31,提示类型: cot
5.5,提示敏感性测试,DeepSeek-V3-0324,optimal,0.8,easy,370,370,282,82,364,6,0,0.7621621621621621,0.22162162162162163,0.9837837837837838,0.016216216216216217,11.988032378298778,0,15,0,0,5,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,qwen2.5-32b-instruct,baseline,0.8,easy,198,197,0,0,0,198,1,0.0,0.0,0.0,1.0,12.048625517267268,1,42,0,0,14,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,qwen2.5-32b-instruct,cot,0.8,easy,198,198,0,0,0,198,0,0.0,0.0,0.0,1.0,19.41402146349791,0,34,0,0,9,2025-08-31,提示类型: cot
5.5,提示敏感性测试,qwen2.5-32b-instruct,optimal,0.8,easy,198,198,0,0,0,198,0,0.0,0.0,0.0,1.0,12.26932596876981,0,36,0,0,10,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,Llama-3.3-70B-Instruct,baseline,0.8,easy,124,124,66,48,114,10,0,0.532258064516129,0.3870967741935484,0.9193548387096774,0.08064516129032258,90.8206449355824,0,12,0,0,10,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,Llama-3.3-70B-Instruct,cot,0.8,easy,396,395,73,65,138,258,1,0.1848101265822785,0.16455696202531644,0.3493670886075949,0.6506329113924051,12.463056148448487,1,91,0,0,21,2025-08-31,提示类型: cot
5.5,提示敏感性测试,Llama-3.3-70B-Instruct,optimal,0.8,easy,396,393,246,138,384,12,3,0.6259541984732825,0.3511450381679389,0.9770992366412213,0.022900763358778626,114.24294709739966,3,24,0,0,11,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,qwen2.5-3b-instruct,baseline,0.8,easy,198,198,34,34,68,130,0,0.1717171717171717,0.1717171717171717,0.3434343434343434,0.6565656565656566,31.713133466628715,0,34,0,0,14,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,qwen2.5-3b-instruct,cot,0.8,easy,222,222,3,3,6,216,0,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.972972972972973,42.192660766127005,0,52,0,0,8,2025-08-31,提示类型: cot
5.5,提示敏感性测试,qwen2.5-3b-instruct,optimal,0.8,easy,138,138,6,6,12,126,0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.9130434782608695,30.71460871671385,0,18,0,0,8,2025-08-31,提示类型: optimal
5.5,提示敏感性测试,DeepSeek-R1-0528,baseline,0.8,easy,270,267,175,91,266,4,3,0.6554307116104869,0.3408239700374532,0.9962546816479401,0.003745318352059925,124.8416723836986,3,14,0,0,1,2025-08-31,提示类型: baseline
5.5,提示敏感性测试,DeepSeek-R1-0528,cot,0.8,easy,396,387,238,110,348,48,9,0.6149870801033591,0.2842377260981912,0.8992248062015504,0.10077519379844961,138.7131614439936,9,27,0,0,11,2025-08-31,提示类型: cot
5.5,提示敏感性测试,DeepSeek-R1-0528,optimal,0.8,easy,396,396,290,102,392,4,0,0.7323232323232324,0.25757575757575757,0.98989898989899,0.010101010101010102,130.55072208279054,0,17,0,0,6,2025-08-31,提示类型: optimal
