phase,test_type,model,prompt_type,difficulty,tool_success_rate,total_tests,successful_tests,success_rate,flawed_types
5.1,baseline,qwen2.5-72b-instruct,optimal,easy,0.8,145,0,0.0,
5.2,scale_effect,qwen2.5-72b-instruct,optimal,very_easy,0.8,129,0,0.0,
5.2,scale_effect,qwen2.5-72b-instruct,optimal,medium,0.8,199,0,0.0,
5.3,flawed_workflow,qwen2.5-72b-instruct,flawed_combined,easy,0.8,1554,0,0.0,7
5.1,baseline,qwen2.5-7b-instruct,optimal,easy,0.8,144,4,2.78,
5.2,scale_effect,qwen2.5-7b-instruct,optimal,very_easy,0.8,200,12,6.0,
5.2,scale_effect,qwen2.5-7b-instruct,optimal,medium,0.8,199,2,1.01,
5.3,flawed_workflow,qwen2.5-7b-instruct,flawed_combined,easy,0.8,1383,111,8.03,7
5.1,baseline,qwen2.5-14b-instruct,optimal,easy,0.8,144,10,6.94,
5.2,scale_effect,qwen2.5-14b-instruct,optimal,very_easy,0.8,160,12,7.5,
5.2,scale_effect,qwen2.5-14b-instruct,optimal,medium,0.8,200,14,7.0,
5.3,flawed_workflow,qwen2.5-14b-instruct,flawed_combined,easy,0.8,1230,77,6.26,7
5.1,baseline,DeepSeek-V3-0324,optimal,easy,0.8,174,174,100.0,
5.3,flawed_workflow,DeepSeek-V3-0324,flawed_combined,easy,0.8,2046,2032,99.32,7
5.1,baseline,qwen2.5-32b-instruct,optimal,easy,0.8,144,3,2.08,
5.2,scale_effect,qwen2.5-32b-instruct,optimal,very_easy,0.8,85,0,0.0,
5.2,scale_effect,qwen2.5-32b-instruct,optimal,medium,0.8,200,8,4.0,
5.3,flawed_workflow,qwen2.5-32b-instruct,flawed_combined,easy,0.8,1248,12,0.96,7
5.1,baseline,Llama-3.3-70B-Instruct,optimal,easy,0.8,180,176,97.78,
5.3,flawed_workflow,Llama-3.3-70B-Instruct,flawed_combined,easy,0.8,874,823,94.16,7
5.1,baseline,qwen2.5-3b-instruct,optimal,easy,0.8,153,26,16.99,
5.2,scale_effect,qwen2.5-3b-instruct,optimal,very_easy,0.8,162,14,8.64,
5.2,scale_effect,qwen2.5-3b-instruct,optimal,medium,0.8,177,27,15.25,
5.3,flawed_workflow,qwen2.5-3b-instruct,flawed_combined,easy,0.8,1406,122,8.68,7
5.1,baseline,DeepSeek-R1-0528,optimal,easy,0.8,198,94,47.47,
5.3,flawed_workflow,DeepSeek-R1-0528,flawed_combined,easy,0.8,1780,1755,98.6,7
